# month=2025-12
# elo_min=2100
# elo_max=2500
# increment=yes
# game_type=blitz_standard
# games_seen=30508213
# games_used=928607
# games_skipped_short_plycount<35=5865
# games_skipped_parse=0
# relevant_games=62661
# relevant_games_with_increment=62661
# relevant_games_without_increment=0
# pct_relevant_over_games_used=6.747849
# plies_total=1014973
# errors_total=16717
# errors_per_ply_pct_total=1.64703889
# can_win_total=220331
# can_win_pct_over_plies_total=21.70806514
# can_draw_total=600269
# can_draw_pct_over_plies_total=59.14137617
# missed_win_to_draw_total=7218
# missed_win_to_draw_pct_over_can_win_total=3.27598023
# missed_win_to_loss_total=228
# missed_win_to_loss_pct_over_can_win_total=0.10348067
# missed_draw_total=9271
# missed_draw_pct_over_can_draw_total=1.54447423
# time_loss_games_total=4235
# time_draw_games_total=164
# pct_time_loss_over_relevant_games=6.758590
material	games	games_pct_over_used	plies	avg_plies_per_game	can_win	can_win_pct_over_plies	can_draw	can_draw_pct_over_plies	games_with_error	error_game_pct	errors	errors_per_ply_pct	missed_win_to_draw	missed_win_to_draw_pct_over_can_win	missed_win_to_loss	missed_win_to_loss_pct_over_can_win	missed_draw	missed_draw_pct_over_can_draw	time_losses	time_loss_pct	time_draws	time_draw_pct
KBB_K	66	0.007107	1340	20.303030	1340	100.000000	0	0.000000	9	13.636364	12	0.895522	12	0.895522	0	0.000000	0	0.000000	0	0.000000	2	3.030303
KBB_KB	35	0.003769	557	15.914286	18	3.231598	539	96.768402	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBB_KN	17	0.001831	264	15.529412	259	98.106061	5	1.893939	8	47.058824	8	3.030303	8	3.088803	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBB_KP	52	0.005600	208	4.000000	190	91.346154	16	7.692308	4	7.692308	5	2.403846	4	2.105263	0	0.000000	1	6.250000	0	0.000000	0	0.000000
KBB_KQ	13	0.001400	54	4.153846	2	3.703704	10	18.518519	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBB_KR	12	0.001292	31	2.583333	7	22.580645	24	77.419355	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBN_K	336	0.036183	9477	28.205357	9470	99.926137	7	0.073863	72	21.428571	72	0.759734	72	0.760296	0	0.000000	0	0.000000	0	0.000000	42	12.500000
KBN_KB	34	0.003661	324	9.529412	23	7.098765	301	92.901235	1	2.941176	1	0.308642	1	4.347826	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBN_KN	53	0.005707	405	7.641509	44	10.864198	361	89.135802	4	7.547170	5	1.234568	5	11.363636	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBN_KP	209	0.022507	866	4.143541	824	95.150115	41	4.734411	14	6.698565	16	1.847575	16	1.941748	0	0.000000	0	0.000000	0	0.000000	0	0.000000
