# month=2025-02
# elo_min=1700
# elo_max=2100
# games_seen=28766231
# games_used=3597897
# games_skipped_short_plycount<35=26071
# games_skipped_parse=0
# relevant_games=211312
# relevant_games_with_increment=211312
# relevant_games_without_increment=0
# pct_relevant_over_games_used=5.873209
# plies_total=3231822
# errors_total=69996
# errors_per_ply_pct_total=2.16583710
# can_win_total=879653
# can_win_pct_over_plies_total=27.21848542
# can_draw_total=1582000
# can_draw_pct_over_plies_total=48.95071573
# missed_win_to_draw_total=31250
# missed_win_to_draw_pct_over_can_win_total=3.55253719
# missed_win_to_loss_total=1211
# missed_win_to_loss_pct_over_can_win_total=0.13766792
# missed_draw_total=37535
# missed_draw_pct_over_can_draw_total=2.37262958
# time_loss_games_total=13389
# time_draw_games_total=417
# pct_time_loss_over_relevant_games=6.336129
material	games	games_pct_over_used	plies	avg_plies_per_game	can_win	can_win_pct_over_plies	can_draw	can_draw_pct_over_plies	games_with_error	error_game_pct	errors	errors_per_ply_pct	missed_win_to_draw	missed_win_to_draw_pct_over_can_win	missed_win_to_loss	missed_win_to_loss_pct_over_can_win	missed_draw	missed_draw_pct_over_can_draw	time_losses	time_loss_pct	time_draws	time_draw_pct
KBB_K	215	0.005976	4987	23.195349	4987	100.000000	0	0.000000	54	25.116279	54	1.082815	54	1.082815	0	0.000000	0	0.000000	0	0.000000	15	6.976744
KBB_KB	71	0.001973	807	11.366197	39	4.832714	768	95.167286	2	2.816901	3	0.371747	3	7.692308	0	0.000000	0	0.000000	1	1.408451	0	0.000000
KBB_KN	22	0.000611	263	11.954545	261	99.239544	2	0.760456	7	31.818182	8	3.041825	8	3.065134	0	0.000000	0	0.000000	2	9.090909	0	0.000000
KBB_KP	127	0.003530	488	3.842520	480	98.360656	8	1.639344	9	7.086614	9	1.844262	8	1.666667	0	0.000000	1	12.500000	0	0.000000	0	0.000000
KBB_KQ	9	0.000250	48	5.333333	3	6.250000	3	6.250000	1	11.111111	1	2.083333	0	0.000000	1	33.333333	0	0.000000	3	33.333333	0	0.000000
KBB_KR	26	0.000723	178	6.846154	17	9.550562	161	90.449438	3	11.538462	3	1.685393	3	17.647059	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBN_K	648	0.018011	17493	26.995370	17467	99.851369	26	0.148631	241	37.191358	252	1.440576	252	1.442721	0	0.000000	0	0.000000	0	0.000000	74	11.419753
KBN_KB	44	0.001223	350	7.954545	25	7.142857	325	92.857143	3	6.818182	3	0.857143	3	12.000000	0	0.000000	0	0.000000	1	2.272727	0	0.000000
KBN_KN	115	0.003196	737	6.408696	80	10.854817	657	89.145183	7	6.086957	10	1.356852	10	12.500000	0	0.000000	0	0.000000	4	3.478261	0	0.000000
KBN_KP	408	0.011340	1864	4.568627	1803	96.727468	58	3.111588	52	12.745098	57	3.057940	55	3.050471	0	0.000000	2	3.448276	1	0.245098	0	0.000000
