# month=2025-06
# elo_min=2500
# elo_max=5000
# games_seen=29474454
# games_used=40900
# games_skipped_short_plycount<35=116
# games_skipped_parse=0
# relevant_games=5840
# relevant_games_with_increment=5840
# relevant_games_without_increment=0
# pct_relevant_over_games_used=14.278729
# plies_total=155224
# errors_total=607
# errors_per_ply_pct_total=0.39104778
# can_win_total=23566
# can_win_pct_over_plies_total=15.18193063
# can_draw_total=110060
# can_draw_pct_over_plies_total=70.90398392
# missed_win_to_draw_total=255
# missed_win_to_draw_pct_over_can_win_total=1.08206739
# missed_win_to_loss_total=2
# missed_win_to_loss_pct_over_can_win_total=0.00848680
# missed_draw_total=350
# missed_draw_pct_over_can_draw_total=0.31800836
# time_loss_games_total=139
# time_draw_games_total=10
# pct_time_loss_over_relevant_games=2.380137
material	games	games_pct_over_used	plies	avg_plies_per_game	can_win	can_win_pct_over_plies	can_draw	can_draw_pct_over_plies	games_with_error	error_game_pct	errors	errors_per_ply_pct	missed_win_to_draw	missed_win_to_draw_pct_over_can_win	missed_win_to_loss	missed_win_to_loss_pct_over_can_win	missed_draw	missed_draw_pct_over_can_draw	time_losses	time_loss_pct	time_draws	time_draw_pct
KBB_K	9	0.022005	106	11.777778	106	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBB_KB	7	0.017115	23	3.285714	4	17.391304	19	82.608696	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBB_KN	1	0.002445	21	21.000000	20	95.238095	1	4.761905	1	100.000000	2	9.523810	2	10.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBB_KP	5	0.012225	30	6.000000	30	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBB_KQ	1	0.002445	5	5.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	1	100.000000	0	0.000000
KBB_KR	2	0.004890	4	2.000000	1	25.000000	3	75.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBN_K	53	0.129584	1384	26.113208	1384	100.000000	0	0.000000	3	5.660377	4	0.289017	4	0.289017	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBN_KB	8	0.019560	121	15.125000	4	3.305785	117	96.694215	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBN_KN	10	0.024450	70	7.000000	13	18.571429	57	81.428571	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBN_KP	24	0.058680	189	7.875000	189	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBN_KQ	7	0.017115	27	3.857143	2	7.407407	3	11.111111	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBN_KR	16	0.039120	97	6.062500	7	7.216495	90	92.783505	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBP_K	210	0.513447	4453	21.204762	681	15.293061	3772	84.706939	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	4	1.904762
KBP_KB	47	0.114914	520	11.063830	144	27.692308	376	72.307692	2	4.255319	3	0.576923	3	2.083333	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBP_KN	94	0.229829	941	10.010638	118	12.539851	823	87.460149	2	2.127660	2	0.212540	2	1.694915	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBP_KP	225	0.550122	1375	6.111111	614	44.654545	758	55.127273	2	0.888889	2	0.145455	1	0.162866	0	0.000000	1	0.131926	0	0.000000	0	0.000000
KBP_KQ	34	0.083130	127	3.735294	6	4.724409	14	11.023622	1	2.941176	3	2.362205	0	0.000000	0	0.000000	3	21.428571	1	2.941176	0	0.000000
KBP_KR	117	0.286064	770	6.581197	17	2.207792	751	97.532468	4	3.418803	4	0.519481	1	5.882353	0	0.000000	3	0.399467	0	0.000000	0	0.000000
KB_KBB	4	0.009780	21	5.250000	0	0.000000	21	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KB_KBN	6	0.014670	121	20.166667	0	0.000000	120	99.173554	1	16.666667	1	0.826446	0	0.000000	0	0.000000	1	0.833333	0	0.000000	0	0.000000
KB_KBP	73	0.178484	546	7.479452	0	0.000000	417	76.373626	5	6.849315	5	0.915751	0	0.000000	0	0.000000	5	1.199041	2	2.739726	0	0.000000
KB_KN	60	0.146699	339	5.650000	0	0.000000	339	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KB_KNN	1	0.002445	3	3.000000	0	0.000000	3	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KB_KNP	88	0.215159	911	10.352273	0	0.000000	867	95.170143	6	6.818182	9	0.987925	0	0.000000	0	0.000000	9	1.038062	1	1.136364	0	0.000000
KB_KP	203	0.496333	1542	7.596059	0	0.000000	1529	99.156939	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	2	0.985222	0	0.000000
KB_KPP	104	0.254279	398	3.826923	0	0.000000	318	79.899497	2	1.923077	2	0.502513	0	0.000000	0	0.000000	2	0.628931	2	1.923077	0	0.000000
KB_KQ	62	0.151589	289	4.661290	0	0.000000	24	8.304498	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	1	1.612903	0	0.000000
KB_KQB	3	0.007335	17	5.666667	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KB_KQN	8	0.019560	38	4.750000	0	0.000000	1	2.631579	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KB_KQP	33	0.080685	102	3.090909	0	0.000000	9	8.823529	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	2	6.060606	0	0.000000
KB_KQQ	3	0.007335	3	1.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KB_KQR	26	0.063570	42	1.615385	0	0.000000	1	2.380952	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	1	3.846154	0	0.000000
KB_KR	120	0.293399	2756	22.966667	0	0.000000	2694	97.750363	7	5.833333	9	0.326560	0	0.000000	0	0.000000	9	0.334076	3	2.500000	0	0.000000
KB_KRB	4	0.009780	30	7.500000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
