# month=2025-11
# elo_min=2100
# elo_max=2500
# increment=no
# game_type=blitz_standard
# games_seen=29165531
# games_used=2341801
# games_skipped_short_plycount<35=17358
# games_skipped_parse=0
# relevant_games=170812
# relevant_games_with_increment=0
# relevant_games_without_increment=170812
# pct_relevant_over_games_used=7.294044
# plies_total=2394373
# errors_total=64608
# errors_per_ply_pct_total=2.69832645
# can_win_total=683747
# can_win_pct_over_plies_total=28.55641122
# can_draw_total=1113512
# can_draw_pct_over_plies_total=46.50536905
# missed_win_to_draw_total=28840
# missed_win_to_draw_pct_over_can_win_total=4.21793441
# missed_win_to_loss_total=2495
# missed_win_to_loss_pct_over_can_win_total=0.36490105
# missed_draw_total=33273
# missed_draw_pct_over_can_draw_total=2.98811328
# time_loss_games_total=43204
# time_draw_games_total=4905
# pct_time_loss_over_relevant_games=25.293305
material	games	games_pct_over_used	plies	avg_plies_per_game	can_win	can_win_pct_over_plies	can_draw	can_draw_pct_over_plies	games_with_error	error_game_pct	errors	errors_per_ply_pct	missed_win_to_draw	missed_win_to_draw_pct_over_can_win	missed_win_to_loss	missed_win_to_loss_pct_over_can_win	missed_draw	missed_draw_pct_over_can_draw	time_losses	time_loss_pct	time_draws	time_draw_pct
KBB_K	181	0.007729	2425	13.397790	2425	100.000000	0	0.000000	50	27.624309	57	2.350515	57	2.350515	0	0.000000	0	0.000000	0	0.000000	48	26.519337
KBB_KB	96	0.004099	653	6.802083	64	9.800919	589	90.199081	10	10.416667	14	2.143951	14	21.875000	0	0.000000	0	0.000000	10	10.416667	0	0.000000
KBB_KN	19	0.000811	56	2.947368	53	94.642857	3	5.357143	3	15.789474	3	5.357143	3	5.660377	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBB_KP	133	0.005679	473	3.556391	460	97.251586	13	2.748414	17	12.781955	20	4.228330	20	4.347826	0	0.000000	0	0.000000	6	4.511278	0	0.000000
KBB_KQ	11	0.000470	34	3.090909	6	17.647059	6	17.647059	2	18.181818	3	8.823529	0	0.000000	1	16.666667	2	33.333333	3	27.272727	0	0.000000
KBB_KR	23	0.000982	61	2.652174	19	31.147541	42	68.852459	5	21.739130	6	9.836066	6	31.578947	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBN_K	596	0.025450	9540	16.006711	9530	99.895178	10	0.104822	183	30.704698	222	2.327044	222	2.329486	0	0.000000	0	0.000000	0	0.000000	222	37.248322
KBN_KB	68	0.002904	456	6.705882	37	8.114035	419	91.885965	9	13.235294	11	2.412281	11	29.729730	0	0.000000	0	0.000000	8	11.764706	0	0.000000
KBN_KN	118	0.005039	618	5.237288	83	13.430421	535	86.569579	22	18.644068	27	4.368932	27	32.530120	0	0.000000	0	0.000000	5	4.237288	0	0.000000
KBN_KP	449	0.019173	1765	3.930958	1691	95.807365	67	3.796034	68	15.144766	84	4.759207	80	4.730928	1	0.059137	3	4.477612	20	4.454343	0	0.000000
