# month=2025-10
# elo_min=1700
# elo_max=2100
# increment=no
# game_type=blitz_standard
# games_seen=29848781
# games_used=10652869
# games_skipped_short_plycount<35=94719
# games_skipped_parse=0
# relevant_games=637183
# relevant_games_with_increment=0
# relevant_games_without_increment=637183
# pct_relevant_over_games_used=5.981328
# plies_total=8505600
# errors_total=250599
# errors_per_ply_pct_total=2.94628245
# can_win_total=2717100
# can_win_pct_over_plies_total=31.94483634
# can_draw_total=3428875
# can_draw_pct_over_plies_total=40.31314663
# missed_win_to_draw_total=115897
# missed_win_to_draw_pct_over_can_win_total=4.26546686
# missed_win_to_loss_total=9213
# missed_win_to_loss_pct_over_can_win_total=0.33907475
# missed_draw_total=125489
# missed_draw_pct_over_can_draw_total=3.65977179
# time_loss_games_total=142544
# time_draw_games_total=17162
# pct_time_loss_over_relevant_games=22.370967
material	games	games_pct_over_used	plies	avg_plies_per_game	can_win	can_win_pct_over_plies	can_draw	can_draw_pct_over_plies	games_with_error	error_game_pct	errors	errors_per_ply_pct	missed_win_to_draw	missed_win_to_draw_pct_over_can_win	missed_win_to_loss	missed_win_to_loss_pct_over_can_win	missed_draw	missed_draw_pct_over_can_draw	time_losses	time_loss_pct	time_draws	time_draw_pct
KBB_K	468	0.004393	6841	14.617521	6841	100.000000	0	0.000000	131	27.991453	143	2.090338	143	2.090338	0	0.000000	0	0.000000	0	0.000000	143	30.555556
KBB_KB	163	0.001530	1086	6.662577	92	8.471455	994	91.528545	13	7.975460	14	1.289134	14	15.217391	0	0.000000	0	0.000000	11	6.748466	0	0.000000
KBB_KN	29	0.000272	162	5.586207	155	95.679012	7	4.320988	14	48.275862	17	10.493827	17	10.967742	0	0.000000	0	0.000000	3	10.344828	0	0.000000
KBB_KP	348	0.003267	1281	3.681034	1259	98.282592	22	1.717408	46	13.218391	47	3.669009	44	3.494837	2	0.158856	1	4.545455	20	5.747126	0	0.000000
KBB_KQ	35	0.000329	101	2.885714	13	12.871287	11	10.891089	2	5.714286	2	1.980198	0	0.000000	1	7.692308	1	9.090909	3	8.571429	0	0.000000
KBB_KR	64	0.000601	198	3.093750	36	18.181818	162	81.818182	5	7.812500	5	2.525253	3	8.333333	0	0.000000	2	1.234568	9	14.062500	0	0.000000
KBN_K	1276	0.011978	20949	16.417712	20910	99.813834	39	0.186166	424	33.228840	528	2.520407	528	2.525108	0	0.000000	0	0.000000	0	0.000000	465	36.442006
KBN_KB	102	0.000957	530	5.196078	67	12.641509	463	87.358491	21	20.588235	24	4.528302	24	35.820896	0	0.000000	0	0.000000	10	9.803922	0	0.000000
KBN_KN	260	0.002441	1476	5.676923	206	13.956640	1270	86.043360	36	13.846154	74	5.013550	74	35.922330	0	0.000000	0	0.000000	35	13.461538	0	0.000000
KBN_KP	1005	0.009434	4274	4.252736	4112	96.209640	155	3.626579	197	19.601990	228	5.334581	212	5.155642	8	0.194553	8	5.161290	73	7.263682	0	0.000000
KBN_KQ	131	0.001230	387	2.954198	54	13.953488	30	7.751938	19	14.503817	26	6.718346	2	3.703704	14	25.925926	10	33.333333	17	12.977099	0	0.000000
KBN_KR	353	0.003314	1514	4.288952	179	11.822985	1334	88.110964	34	9.631728	43	2.840159	41	22.905028	0	0.000000	2	0.149925	47	13.314448	0	0.000000
KBP_K	22305	0.209380	136563	6.122529	112824	82.616814	23739	17.383186	1709	7.661959	1847	1.352489	1847	1.637063	0	0.000000	0	0.000000	0	0.000000	2180	9.773593
KBP_KB	3211	0.030142	15543	4.840548	4751	30.566815	10792	69.433185	441	13.734039	601	3.866692	601	12.649968	0	0.000000	0	0.000000	223	6.944877	0	0.000000
KBP_KN	3799	0.035662	16887	4.445117	3545	20.992479	13342	79.007521	498	13.108713	662	3.920175	660	18.617772	0	0.000000	2	0.014990	423	11.134509	0	0.000000
KBP_KP	26291	0.246797	101460	3.859115	85216	83.989750	15858	15.629805	2608	9.919744	2970	2.927262	2645	3.103877	170	0.199493	155	0.977425	1383	5.260355	0	0.000000
KBP_KQ	3056	0.028687	11801	3.861584	921	7.804423	889	7.533260	171	5.595550	208	1.762562	12	1.302932	72	7.817590	124	13.948256	452	14.790576	0	0.000000
KBP_KR	7099	0.066639	39548	5.570925	2528	6.392232	36705	92.811267	1258	17.720806	1552	3.924345	463	18.314873	21	0.830696	1068	2.909685	1197	16.861530	0	0.000000
KB_KBB	162	0.001521	1106	6.827160	0	0.000000	1101	99.547920	30	18.518519	33	2.983725	0	0.000000	0	0.000000	33	2.997275	27	16.666667	0	0.000000
KB_KBN	105	0.000986	541	5.152381	0	0.000000	540	99.815157	26	24.761905	33	6.099815	0	0.000000	0	0.000000	33	6.111111	16	15.238095	0	0.000000
KB_KBP	3422	0.032123	16283	4.758328	0	0.000000	13135	80.666953	684	19.988311	898	5.514954	0	0.000000	0	0.000000	898	6.836696	284	8.299240	0	0.000000
KB_KN	2562	0.024050	16884	6.590164	0	0.000000	16884	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	334	13.036690	0	0.000000
KB_KNN	53	0.000498	209	3.943396	0	0.000000	209	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	6	11.320755	0	0.000000
KB_KNP	4881	0.045819	24221	4.962303	0	0.000000	21857	90.239874	1182	24.216349	1544	6.374634	0	0.000000	0	0.000000	1544	7.064098	581	11.903299	0	0.000000
KB_KP	13020	0.122221	67234	5.163902	1	0.001487	66872	99.461582	537	4.124424	595	0.884969	0	0.000000	0	0.000000	595	0.889760	1197	9.193548	0	0.000000
KB_KPP	9504	0.089215	37987	3.996949	6	0.015795	30049	79.103377	1368	14.393939	1600	4.211967	3	50.000000	0	0.000000	1597	5.314653	942	9.911616	0	0.000000
KB_KQ	3519	0.033033	10950	3.111679	0	0.000000	2048	18.703196	196	5.569764	230	2.100457	0	0.000000	0	0.000000	230	11.230469	407	11.565786	0	0.000000
KB_KQB	320	0.003004	889	2.778125	0	0.000000	52	5.849269	8	2.500000	9	1.012373	0	0.000000	0	0.000000	9	17.307692	34	10.625000	0	0.000000
KB_KQN	454	0.004262	1309	2.883260	0	0.000000	114	8.708938	12	2.643172	13	0.993125	0	0.000000	0	0.000000	13	11.403509	51	11.233480	0	0.000000
KB_KQP	3072	0.028837	7633	2.484701	0	0.000000	580	7.598585	39	1.269531	40	0.524040	0	0.000000	0	0.000000	40	6.896552	349	11.360677	0	0.000000
KB_KQQ	470	0.004412	937	1.993617	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	57	12.127660	0	0.000000
KB_KQR	691	0.006487	1208	1.748191	0	0.000000	27	2.235099	4	0.578871	4	0.331126	0	0.000000	0	0.000000	4	14.814815	65	9.406657	0	0.000000
KB_KR	3866	0.036291	20170	5.217279	0	0.000000	19162	95.002479	1186	30.677703	1626	8.061477	0	0.000000	0	0.000000	1626	8.485544	702	18.158303	0	0.000000
KB_KRB	167	0.001568	762	4.562874	0	0.000000	63	8.267717	8	4.790419	9	1.181102	0	0.000000	0	0.000000	9	14.285714	20	11.976048	0	0.000000
KB_KRN	311	0.002919	1533	4.929260	0	0.000000	136	8.871494	22	7.073955	24	1.565558	0	0.000000	0	0.000000	24	17.647059	43	13.826367	0	0.000000
KB_KRP	5630	0.052850	23456	4.166252	0	0.000000	3828	16.319918	553	9.822380	803	3.423431	0	0.000000	0	0.000000	803	20.977011	759	13.481350	0	0.000000
