# month=2025-02
# elo_min=2100
# elo_max=2500
# increment=no
# game_type=blitz_standard
# games_seen=28766231
# games_used=2316601
# games_skipped_short_plycount<35=12908
# games_skipped_parse=0
# relevant_games=171420
# relevant_games_with_increment=0
# relevant_games_without_increment=171420
# pct_relevant_over_games_used=7.399634
# plies_total=2393897
# errors_total=65377
# errors_per_ply_pct_total=2.73098634
# can_win_total=689028
# can_win_pct_over_plies_total=28.78269199
# can_draw_total=1103191
# can_draw_pct_over_plies_total=46.08347811
# missed_win_to_draw_total=29324
# missed_win_to_draw_pct_over_can_win_total=4.25585027
# missed_win_to_loss_total=2463
# missed_win_to_loss_pct_over_can_win_total=0.35746007
# missed_draw_total=33590
# missed_draw_pct_over_can_draw_total=3.04480367
# time_loss_games_total=42786
# time_draw_games_total=5080
# pct_time_loss_over_relevant_games=24.959748
material	games	games_pct_over_used	plies	avg_plies_per_game	can_win	can_win_pct_over_plies	can_draw	can_draw_pct_over_plies	games_with_error	error_game_pct	errors	errors_per_ply_pct	missed_win_to_draw	missed_win_to_draw_pct_over_can_win	missed_win_to_loss	missed_win_to_loss_pct_over_can_win	missed_draw	missed_draw_pct_over_can_draw	time_losses	time_loss_pct	time_draws	time_draw_pct
KBB_K	191	0.008245	2483	13.000000	2483	100.000000	0	0.000000	36	18.848168	39	1.570681	39	1.570681	0	0.000000	0	0.000000	0	0.000000	65	34.031414
KBB_KB	79	0.003410	513	6.493671	59	11.500975	454	88.499025	9	11.392405	12	2.339181	12	20.338983	0	0.000000	0	0.000000	6	7.594937	0	0.000000
KBB_KN	25	0.001079	130	5.200000	127	97.692308	3	2.307692	10	40.000000	15	11.538462	15	11.811024	0	0.000000	0	0.000000	3	12.000000	0	0.000000
KBB_KP	133	0.005741	456	3.428571	448	98.245614	8	1.754386	16	12.030075	18	3.947368	16	3.571429	1	0.223214	1	12.500000	7	5.263158	0	0.000000
KBB_KQ	12	0.000518	77	6.416667	4	5.194805	4	5.194805	4	33.333333	4	5.194805	1	25.000000	1	25.000000	2	50.000000	0	0.000000	0	0.000000
KBB_KR	23	0.000993	51	2.217391	15	29.411765	36	70.588235	1	4.347826	2	3.921569	2	13.333333	0	0.000000	0	0.000000	3	13.043478	0	0.000000
KBN_K	575	0.024821	9573	16.648696	9561	99.874647	12	0.125353	163	28.347826	194	2.026533	194	2.029076	0	0.000000	0	0.000000	0	0.000000	222	38.608696
KBN_KB	52	0.002245	332	6.384615	45	13.554217	287	86.445783	9	17.307692	15	4.518072	15	33.333333	0	0.000000	0	0.000000	2	3.846154	0	0.000000
KBN_KN	131	0.005655	672	5.129771	80	11.904762	592	88.095238	17	12.977099	28	4.166667	28	35.000000	0	0.000000	0	0.000000	14	10.687023	0	0.000000
KBN_KP	437	0.018864	1768	4.045767	1690	95.588235	74	4.185520	79	18.077803	94	5.316742	85	5.029586	3	0.177515	6	8.108108	29	6.636156	0	0.000000
KBN_KQ	49	0.002115	166	3.387755	23	13.855422	20	12.048193	6	12.244898	7	4.216867	0	0.000000	4	17.391304	3	15.000000	2	4.081633	0	0.000000
KBN_KR	142	0.006130	689	4.852113	74	10.740203	615	89.259797	17	11.971831	25	3.628447	22	29.729730	0	0.000000	3	0.487805	24	16.901408	0	0.000000
KBP_K	6695	0.289001	42548	6.355190	31509	74.055185	11039	25.944815	327	4.884242	339	0.796747	339	1.075883	0	0.000000	0	0.000000	0	0.000000	680	10.156833
KBP_KB	1311	0.056592	7412	5.653699	2061	27.806260	5351	72.193740	163	12.433257	234	3.157043	234	11.353712	0	0.000000	0	0.000000	91	6.941266	0	0.000000
KBP_KN	1597	0.068937	7809	4.889793	1395	17.864003	6414	82.135997	197	12.335629	261	3.342297	260	18.637993	0	0.000000	1	0.015591	153	9.580463	0	0.000000
KBP_KP	8146	0.351636	32193	3.952001	25121	78.032492	6951	21.591650	679	8.335379	787	2.444631	710	2.826321	37	0.147287	40	0.575457	504	6.187086	0	0.000000
KBP_KQ	851	0.036735	3198	3.757932	210	6.566604	266	8.317699	53	6.227967	69	2.157598	6	2.857143	19	9.047619	44	16.541353	135	15.863690	0	0.000000
KBP_KR	2117	0.091384	11971	5.654700	692	5.780637	11186	93.442486	356	16.816249	476	3.976276	147	21.242775	2	0.289017	327	2.923297	399	18.847426	0	0.000000
KB_KBB	80	0.003453	524	6.550000	0	0.000000	522	99.618321	24	30.000000	30	5.725191	0	0.000000	0	0.000000	30	5.747126	15	18.750000	0	0.000000
KB_KBN	48	0.002072	332	6.916667	0	0.000000	331	99.698795	13	27.083333	20	6.024096	0	0.000000	0	0.000000	20	6.042296	4	8.333333	0	0.000000
KB_KBP	1516	0.065441	7765	5.122032	0	0.000000	6362	81.931745	253	16.688654	348	4.481648	0	0.000000	0	0.000000	348	5.469978	121	7.981530	0	0.000000
KB_KN	1100	0.047483	7606	6.914545	0	0.000000	7606	100.000000	1	0.090909	1	0.013148	0	0.000000	0	0.000000	1	0.013148	158	14.363636	0	0.000000
KB_KNN	23	0.000993	107	4.652174	0	0.000000	106	99.065421	1	4.347826	1	0.934579	0	0.000000	0	0.000000	1	0.943396	2	8.695652	0	0.000000
KB_KNP	2062	0.089010	10969	5.319593	0	0.000000	10145	92.487921	500	24.248303	667	6.080773	0	0.000000	0	0.000000	667	6.574667	234	11.348206	0	0.000000
KB_KP	4678	0.201934	27457	5.869389	0	0.000000	27336	99.559311	236	5.044891	290	1.056197	0	0.000000	0	0.000000	290	1.060872	440	9.405729	0	0.000000
KB_KPP	3020	0.130363	11721	3.881126	0	0.000000	9747	83.158434	356	11.788079	422	3.600375	0	0.000000	0	0.000000	422	4.329537	305	10.099338	0	0.000000
KB_KQ	1169	0.050462	3545	3.032506	0	0.000000	705	19.887165	89	7.613345	105	2.961918	0	0.000000	0	0.000000	105	14.893617	151	12.917023	0	0.000000
KB_KQB	132	0.005698	344	2.606061	0	0.000000	33	9.593023	6	4.545455	6	1.744186	0	0.000000	0	0.000000	6	18.181818	13	9.848485	0	0.000000
KB_KQN	154	0.006648	402	2.610390	0	0.000000	45	11.194030	9	5.844156	10	2.487562	0	0.000000	0	0.000000	10	22.222222	26	16.883117	0	0.000000
KB_KQP	884	0.038159	2357	2.666290	0	0.000000	195	8.273229	23	2.601810	27	1.145524	0	0.000000	0	0.000000	27	13.846154	104	11.764706	0	0.000000
KB_KQQ	129	0.005569	327	2.534884	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	10	7.751938	0	0.000000
KB_KQR	180	0.007770	357	1.983333	0	0.000000	2	0.560224	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	15	8.333333	0	0.000000
KB_KR	1340	0.057843	7719	5.760448	0	0.000000	7337	95.051172	374	27.910448	519	6.723669	0	0.000000	0	0.000000	519	7.073736	277	20.671642	0	0.000000
KB_KRB	70	0.003022	354	5.057143	0	0.000000	33	9.322034	3	4.285714	7	1.977401	0	0.000000	0	0.000000	7	21.212121	10	14.285714	0	0.000000
KB_KRN	96	0.004144	615	6.406250	0	0.000000	45	7.317073	8	8.333333	8	1.300813	0	0.000000	0	0.000000	8	17.777778	10	10.416667	0	0.000000
KB_KRP	1738	0.075024	7438	4.279632	0	0.000000	1143	15.367034	165	9.493671	254	3.414896	0	0.000000	0	0.000000	254	22.222222	252	14.499425	0	0.000000
KB_KRR	29	0.001252	61	2.103448	0	0.000000	14	22.950820	1	3.448276	1	1.639344	0	0.000000	0	0.000000	1	7.142857	5	17.241379	0	0.000000
KDN_KD	76	0.003281	509	6.697368	52	10.216110	457	89.783890	8	10.526316	12	2.357564	12	23.076923	0	0.000000	0	0.000000	12	15.789474	0	0.000000
KDP_KD	1778	0.076750	15547	8.744094	632	4.065093	14915	95.934907	101	5.680540	124	0.797582	124	19.620253	0	0.000000	0	0.000000	162	9.111361	0	0.000000
KD_KD	557	0.024044	8195	14.712747	0	0.000000	8195	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	118	21.184919	0	0.000000
KD_KDN	68	0.002935	511	7.514706	0	0.000000	505	98.825832	18	26.470588	22	4.305284	0	0.000000	0	0.000000	22	4.356436	10	14.705882	0	0.000000
KD_KDP	1765	0.076189	15632	8.856657	0	0.000000	15600	99.795292	167	9.461756	208	1.330604	0	0.000000	0	0.000000	208	1.333333	272	15.410765	0	0.000000
KD_KQD	158	0.006820	391	2.474684	0	0.000000	78	19.948849	14	8.860759	18	4.603581	0	0.000000	0	0.000000	18	23.076923	21	13.291139	0	0.000000
KD_KRD	109	0.004705	733	6.724771	0	0.000000	63	8.594816	9	8.256881	18	2.455662	0	0.000000	0	0.000000	18	28.571429	21	19.266055	0	0.000000
KNN_K	144	0.006216	2325	16.145833	1	0.043011	2324	99.956989	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	47	32.638889
KNN_KB	15	0.000648	94	6.266667	2	2.127660	92	97.872340	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	1	6.666667	0	0.000000
