# month=2025-07
# elo_min=2100
# elo_max=2500
# increment=no
# game_type=blitz_standard
# games_seen=30433544
# games_used=2484390
# games_skipped_short_plycount<35=14070
# games_skipped_parse=0
# relevant_games=181768
# relevant_games_with_increment=0
# relevant_games_without_increment=181768
# pct_relevant_over_games_used=7.316404
# plies_total=2545489
# errors_total=69539
# errors_per_ply_pct_total=2.73185231
# can_win_total=731527
# can_win_pct_over_plies_total=28.73817172
# can_draw_total=1175191
# can_draw_pct_over_plies_total=46.16759295
# missed_win_to_draw_total=31053
# missed_win_to_draw_pct_over_can_win_total=4.24495610
# missed_win_to_loss_total=2738
# missed_win_to_loss_pct_over_can_win_total=0.37428557
# missed_draw_total=35748
# missed_draw_pct_over_can_draw_total=3.04188851
# time_loss_games_total=45287
# time_draw_games_total=5307
# pct_time_loss_over_relevant_games=24.914726
material	games	games_pct_over_used	plies	avg_plies_per_game	can_win	can_win_pct_over_plies	can_draw	can_draw_pct_over_plies	games_with_error	error_game_pct	errors	errors_per_ply_pct	missed_win_to_draw	missed_win_to_draw_pct_over_can_win	missed_win_to_loss	missed_win_to_loss_pct_over_can_win	missed_draw	missed_draw_pct_over_can_draw	time_losses	time_loss_pct	time_draws	time_draw_pct
KBB_K	192	0.007728	2532	13.187500	2532	100.000000	0	0.000000	44	22.916667	44	1.737757	44	1.737757	0	0.000000	0	0.000000	0	0.000000	60	31.250000
KBB_KB	76	0.003059	598	7.868421	48	8.026756	550	91.973244	13	17.105263	18	3.010033	18	37.500000	0	0.000000	0	0.000000	4	5.263158	0	0.000000
KBB_KN	18	0.000725	78	4.333333	77	98.717949	1	1.282051	9	50.000000	12	15.384615	12	15.584416	0	0.000000	0	0.000000	1	5.555556	0	0.000000
KBB_KP	144	0.005796	505	3.506944	504	99.801980	0	0.000000	18	12.500000	20	3.960396	19	3.769841	1	0.198413	0	0.000000	6	4.166667	0	0.000000
KBB_KQ	8	0.000322	29	3.625000	2	6.896552	5	17.241379	3	37.500000	3	10.344828	0	0.000000	0	0.000000	3	60.000000	1	12.500000	0	0.000000
KBB_KR	25	0.001006	84	3.360000	16	19.047619	68	80.952381	2	8.000000	2	2.380952	2	12.500000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBN_K	650	0.026163	10808	16.627692	10794	99.870466	14	0.129534	180	27.692308	198	1.831976	198	1.834352	0	0.000000	0	0.000000	0	0.000000	236	36.307692
KBN_KB	53	0.002133	229	4.320755	31	13.537118	198	86.462882	7	13.207547	10	4.366812	10	32.258065	0	0.000000	0	0.000000	7	13.207547	0	0.000000
KBN_KN	127	0.005112	851	6.700787	110	12.925969	741	87.074031	21	16.535433	35	4.112808	35	31.818182	0	0.000000	0	0.000000	7	5.511811	0	0.000000
KBN_KP	512	0.020609	2090	4.082031	2008	96.076555	74	3.540670	91	17.773438	102	4.880383	92	4.581673	7	0.348606	3	4.054054	21	4.101562	0	0.000000
