# month=2025-09
# elo_min=2100
# elo_max=2500
# increment=no
# game_type=blitz_standard
# games_seen=28526571
# games_used=2330108
# games_skipped_short_plycount<35=12615
# games_skipped_parse=0
# relevant_games=168375
# relevant_games_with_increment=0
# relevant_games_without_increment=168375
# pct_relevant_over_games_used=7.226060
# plies_total=2351826
# errors_total=64037
# errors_per_ply_pct_total=2.72286300
# can_win_total=677003
# can_win_pct_over_plies_total=28.78627075
# can_draw_total=1083803
# can_draw_pct_over_plies_total=46.08346876
# missed_win_to_draw_total=28585
# missed_win_to_draw_pct_over_can_win_total=4.22228557
# missed_win_to_loss_total=2478
# missed_win_to_loss_pct_over_can_win_total=0.36602497
# missed_draw_total=32974
# missed_draw_pct_over_can_draw_total=3.04243483
# time_loss_games_total=42763
# time_draw_games_total=4958
# pct_time_loss_over_relevant_games=25.397476
material	games	games_pct_over_used	plies	avg_plies_per_game	can_win	can_win_pct_over_plies	can_draw	can_draw_pct_over_plies	games_with_error	error_game_pct	errors	errors_per_ply_pct	missed_win_to_draw	missed_win_to_draw_pct_over_can_win	missed_win_to_loss	missed_win_to_loss_pct_over_can_win	missed_draw	missed_draw_pct_over_can_draw	time_losses	time_loss_pct	time_draws	time_draw_pct
KBB_K	190	0.008154	2728	14.357895	2728	100.000000	0	0.000000	36	18.947368	40	1.466276	40	1.466276	0	0.000000	0	0.000000	0	0.000000	69	36.315789
KBB_KB	94	0.004034	639	6.797872	56	8.763693	583	91.236307	6	6.382979	7	1.095462	7	12.500000	0	0.000000	0	0.000000	7	7.446809	0	0.000000
KBB_KN	24	0.001030	129	5.375000	122	94.573643	7	5.426357	7	29.166667	7	5.426357	7	5.737705	0	0.000000	0	0.000000	1	4.166667	0	0.000000
KBB_KP	140	0.006008	457	3.264286	451	98.687090	6	1.312910	17	12.142857	19	4.157549	19	4.212860	0	0.000000	0	0.000000	6	4.285714	0	0.000000
KBB_KQ	14	0.000601	33	2.357143	7	21.212121	25	75.757576	2	14.285714	6	18.181818	2	28.571429	0	0.000000	4	16.000000	1	7.142857	0	0.000000
KBB_KR	21	0.000901	79	3.761905	7	8.860759	72	91.139241	2	9.523810	2	2.531646	2	28.571429	0	0.000000	0	0.000000	3	14.285714	0	0.000000
KBN_K	562	0.024119	8854	15.754448	8835	99.785408	19	0.214592	153	27.224199	170	1.920036	170	1.924165	0	0.000000	0	0.000000	0	0.000000	191	33.985765
KBN_KB	58	0.002489	324	5.586207	36	11.111111	288	88.888889	7	12.068966	9	2.777778	9	25.000000	0	0.000000	0	0.000000	4	6.896552	0	0.000000
KBN_KN	117	0.005021	575	4.914530	77	13.391304	498	86.608696	14	11.965812	17	2.956522	17	22.077922	0	0.000000	0	0.000000	10	8.547009	0	0.000000
KBN_KP	450	0.019312	1757	3.904444	1664	94.706887	86	4.894707	81	18.000000	102	5.805350	85	5.108173	6	0.360577	11	12.790698	24	5.333333	0	0.000000
KBN_KQ	46	0.001974	89	1.934783	10	11.235955	12	13.483146	4	8.695652	4	4.494382	0	0.000000	3	30.000000	1	8.333333	6	13.043478	0	0.000000
KBN_KR	157	0.006738	716	4.560510	85	11.871508	631	88.128492	21	13.375796	27	3.770950	21	24.705882	1	1.176471	5	0.792393	19	12.101911	0	0.000000
