# month=2025-01
# elo_min=2100
# elo_max=2500
# increment=no
# game_type=blitz_standard
# games_seen=32749278
# games_used=2657432
# games_skipped_short_plycount<35=14411
# games_skipped_parse=0
# relevant_games=198120
# relevant_games_with_increment=0
# relevant_games_without_increment=198120
# pct_relevant_over_games_used=7.455318
# plies_total=2759123
# errors_total=75083
# errors_per_ply_pct_total=2.72126324
# can_win_total=794034
# can_win_pct_over_plies_total=28.77849230
# can_draw_total=1271775
# can_draw_pct_over_plies_total=46.09345071
# missed_win_to_draw_total=33521
# missed_win_to_draw_pct_over_can_win_total=4.22160764
# missed_win_to_loss_total=2854
# missed_win_to_loss_pct_over_can_win_total=0.35943045
# missed_draw_total=38708
# missed_draw_pct_over_can_draw_total=3.04362014
# time_loss_games_total=50012
# time_draw_games_total=5788
# pct_time_loss_over_relevant_games=25.243287
material	games	games_pct_over_used	plies	avg_plies_per_game	can_win	can_win_pct_over_plies	can_draw	can_draw_pct_over_plies	games_with_error	error_game_pct	errors	errors_per_ply_pct	missed_win_to_draw	missed_win_to_draw_pct_over_can_win	missed_win_to_loss	missed_win_to_loss_pct_over_can_win	missed_draw	missed_draw_pct_over_can_draw	time_losses	time_loss_pct	time_draws	time_draw_pct
KBB_K	229	0.008617	3378	14.751092	3378	100.000000	0	0.000000	45	19.650655	45	1.332149	45	1.332149	0	0.000000	0	0.000000	0	0.000000	65	28.384279
KBB_KB	120	0.004516	883	7.358333	75	8.493771	808	91.506229	11	9.166667	11	1.245753	11	14.666667	0	0.000000	0	0.000000	3	2.500000	0	0.000000
KBB_KN	33	0.001242	132	4.000000	125	94.696970	7	5.303030	14	42.424242	18	13.636364	18	14.400000	0	0.000000	0	0.000000	2	6.060606	0	0.000000
KBB_KP	148	0.005569	595	4.020270	582	97.815126	13	2.184874	16	10.810811	19	3.193277	18	3.092784	1	0.171821	0	0.000000	7	4.729730	0	0.000000
KBB_KQ	11	0.000414	38	3.454545	6	15.789474	3	7.894737	1	9.090909	1	2.631579	0	0.000000	1	16.666667	0	0.000000	3	27.272727	0	0.000000
KBB_KR	35	0.001317	99	2.828571	18	18.181818	81	81.818182	1	2.857143	1	1.010101	1	5.555556	0	0.000000	0	0.000000	1	2.857143	0	0.000000
KBN_K	696	0.026191	11848	17.022989	11832	99.864956	16	0.135044	212	30.459770	255	2.152262	255	2.155172	0	0.000000	0	0.000000	0	0.000000	238	34.195402
KBN_KB	62	0.002333	374	6.032258	47	12.566845	327	87.433155	12	19.354839	18	4.812834	18	38.297872	0	0.000000	0	0.000000	8	12.903226	0	0.000000
KBN_KN	138	0.005193	776	5.623188	101	13.015464	675	86.984536	17	12.318841	24	3.092784	24	23.762376	0	0.000000	0	0.000000	9	6.521739	0	0.000000
KBN_KP	501	0.018853	1927	3.846307	1859	96.471199	66	3.425013	85	16.966068	104	5.396990	90	4.841313	3	0.161377	11	16.666667	37	7.385230	0	0.000000
KBN_KQ	49	0.001844	142	2.897959	20	14.084507	31	21.830986	9	18.367347	12	8.450704	0	0.000000	4	20.000000	8	25.806452	6	12.244898	0	0.000000
KBN_KR	189	0.007112	839	4.439153	98	11.680572	741	88.319428	18	9.523810	24	2.860548	22	22.448980	0	0.000000	2	0.269906	32	16.931217	0	0.000000
KBP_K	7628	0.287044	48405	6.345700	35572	73.488276	12833	26.511724	365	4.785003	382	0.789175	382	1.073878	0	0.000000	0	0.000000	0	0.000000	800	10.487677
KBP_KB	1562	0.058779	7859	5.031370	2357	29.991093	5502	70.008907	193	12.355954	236	3.002927	236	10.012728	0	0.000000	0	0.000000	95	6.081946	0	0.000000
KBP_KN	1819	0.068450	8527	4.687741	1648	19.326844	6879	80.673156	223	12.259483	282	3.307142	280	16.990291	0	0.000000	2	0.029074	199	10.940077	0	0.000000
KBP_KP	9093	0.342172	35806	3.937754	27986	78.160085	7670	21.420991	753	8.281095	903	2.521924	794	2.837133	52	0.185807	57	0.743155	515	5.663697	0	0.000000
