# month=2025-07
# elo_min=2500
# elo_max=5000
# increment=no
# game_type=blitz_standard
# games_seen=30433544
# games_used=151717
# games_skipped_short_plycount<35=460
# games_skipped_parse=0
# relevant_games=15312
# relevant_games_with_increment=0
# relevant_games_without_increment=15312
# pct_relevant_over_games_used=10.092475
# plies_total=274193
# errors_total=5962
# errors_per_ply_pct_total=2.17438082
# can_win_total=57367
# can_win_pct_over_plies_total=20.92212420
# can_draw_total=166339
# can_draw_pct_over_plies_total=60.66493309
# missed_win_to_draw_total=2580
# missed_win_to_draw_pct_over_can_win_total=4.49735911
# missed_win_to_loss_total=252
# missed_win_to_loss_pct_over_can_win_total=0.43927694
# missed_draw_total=3130
# missed_draw_pct_over_can_draw_total=1.88169942
# time_loss_games_total=3495
# time_draw_games_total=398
# pct_time_loss_over_relevant_games=22.825235
material	games	games_pct_over_used	plies	avg_plies_per_game	can_win	can_win_pct_over_plies	can_draw	can_draw_pct_over_plies	games_with_error	error_game_pct	errors	errors_per_ply_pct	missed_win_to_draw	missed_win_to_draw_pct_over_can_win	missed_win_to_loss	missed_win_to_loss_pct_over_can_win	missed_draw	missed_draw_pct_over_can_draw	time_losses	time_loss_pct	time_draws	time_draw_pct
KBB_K	26	0.017137	294	11.307692	294	100.000000	0	0.000000	3	11.538462	3	1.020408	3	1.020408	0	0.000000	0	0.000000	0	0.000000	4	15.384615
KBB_KB	14	0.009228	243	17.357143	5	2.057613	238	97.942387	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	2	14.285714	0	0.000000
KBB_KN	10	0.006591	83	8.300000	83	100.000000	0	0.000000	2	20.000000	2	2.409639	2	2.409639	0	0.000000	0	0.000000	1	10.000000	0	0.000000
KBB_KP	15	0.009887	59	3.933333	59	100.000000	0	0.000000	2	13.333333	2	3.389831	1	1.694915	1	1.694915	0	0.000000	0	0.000000	0	0.000000
KBB_KQ	1	0.000659	1	1.000000	1	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBB_KR	2	0.001318	2	1.000000	1	50.000000	1	50.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBN_K	74	0.048775	1499	20.256757	1499	100.000000	0	0.000000	10	13.513514	11	0.733823	11	0.733823	0	0.000000	0	0.000000	0	0.000000	24	32.432432
KBN_KB	14	0.009228	59	4.214286	7	11.864407	52	88.135593	1	7.142857	1	1.694915	1	14.285714	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KBN_KN	20	0.013182	127	6.350000	13	10.236220	114	89.763780	2	10.000000	3	2.362205	3	23.076923	0	0.000000	0	0.000000	2	10.000000	0	0.000000
KBN_KP	58	0.038229	220	3.793103	201	91.363636	15	6.818182	10	17.241379	12	5.454545	8	3.980100	1	0.497512	3	20.000000	2	3.448276	0	0.000000
KBN_KQ	8	0.005273	26	3.250000	1	3.846154	3	11.538462	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	2	25.000000	0	0.000000
KBN_KR	24	0.015819	116	4.833333	13	11.206897	103	88.793103	3	12.500000	5	4.310345	5	38.461538	0	0.000000	0	0.000000	2	8.333333	0	0.000000
KBP_K	625	0.411951	5905	9.448000	2668	45.182049	3237	54.817951	24	3.840000	24	0.406435	24	0.899550	0	0.000000	0	0.000000	0	0.000000	72	11.520000
KBP_KB	148	0.097550	1253	8.466216	180	14.365523	1073	85.634477	22	14.864865	29	2.314445	29	16.111111	0	0.000000	0	0.000000	7	4.729730	0	0.000000
KBP_KN	203	0.133802	1183	5.827586	219	18.512257	964	81.487743	18	8.866995	21	1.775148	21	9.589041	0	0.000000	0	0.000000	13	6.403941	0	0.000000
KBP_KP	770	0.507524	3342	4.340260	2270	67.923399	1067	31.926990	42	5.454545	48	1.436266	42	1.850220	3	0.132159	3	0.281162	45	5.844156	0	0.000000
KBP_KQ	79	0.052071	339	4.291139	20	5.899705	24	7.079646	4	5.063291	5	1.474926	0	0.000000	3	15.000000	2	8.333333	11	13.924051	0	0.000000
KBP_KR	233	0.153575	1578	6.772532	56	3.548796	1507	95.500634	27	11.587983	33	2.091255	10	17.857143	1	1.785714	22	1.459854	32	13.733906	0	0.000000
KB_KBB	13	0.008569	245	18.846154	0	0.000000	245	100.000000	1	7.692308	1	0.408163	0	0.000000	0	0.000000	1	0.408163	2	15.384615	0	0.000000
KB_KBN	14	0.009228	64	4.571429	0	0.000000	64	100.000000	1	7.142857	2	3.125000	0	0.000000	0	0.000000	2	3.125000	0	0.000000	0	0.000000
KB_KBP	163	0.107437	1299	7.969325	0	0.000000	1185	91.224018	33	20.245399	48	3.695150	0	0.000000	0	0.000000	48	4.050633	10	6.134969	0	0.000000
KB_KN	150	0.098868	1169	7.793333	0	0.000000	1169	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	30	20.000000	0	0.000000
KB_KNN	2	0.001318	12	6.000000	0	0.000000	12	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KB_KNP	256	0.168735	1894	7.398438	0	0.000000	1798	94.931362	48	18.750000	66	3.484688	0	0.000000	0	0.000000	66	3.670745	24	9.375000	0	0.000000
KB_KP	519	0.342084	3392	6.535645	0	0.000000	3375	99.498821	26	5.009634	36	1.061321	0	0.000000	0	0.000000	36	1.066667	32	6.165703	0	0.000000
KB_KPP	316	0.208283	1394	4.411392	0	0.000000	1240	88.952654	27	8.544304	30	2.152080	0	0.000000	0	0.000000	30	2.419355	24	7.594937	0	0.000000
KB_KQ	128	0.084368	437	3.414062	0	0.000000	72	16.475973	10	7.812500	10	2.288330	0	0.000000	0	0.000000	10	13.888889	12	9.375000	0	0.000000
KB_KQB	14	0.009228	44	3.142857	0	0.000000	4	9.090909	1	7.142857	1	2.272727	0	0.000000	0	0.000000	1	25.000000	1	7.142857	0	0.000000
KB_KQN	31	0.020433	106	3.419355	0	0.000000	12	11.320755	1	3.225806	1	0.943396	0	0.000000	0	0.000000	1	8.333333	2	6.451613	0	0.000000
KB_KQP	80	0.052730	210	2.625000	0	0.000000	32	15.238095	4	5.000000	4	1.904762	0	0.000000	0	0.000000	4	12.500000	4	5.000000	0	0.000000
KB_KQQ	6	0.003955	16	2.666667	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KB_KQR	25	0.016478	69	2.760000	0	0.000000	2	2.898551	1	4.000000	1	1.449275	0	0.000000	0	0.000000	1	50.000000	0	0.000000	0	0.000000
KB_KR	202	0.133143	2245	11.113861	0	0.000000	2173	96.792873	53	26.237624	86	3.830735	0	0.000000	0	0.000000	86	3.957662	29	14.356436	0	0.000000
KB_KRB	8	0.005273	60	7.500000	0	0.000000	2	3.333333	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KB_KRN	9	0.005932	53	5.888889	0	0.000000	3	5.660377	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	1	11.111111	0	0.000000
KB_KRP	199	0.131165	1006	5.055276	0	0.000000	204	20.278330	12	6.030151	17	1.689861	0	0.000000	0	0.000000	17	8.333333	16	8.040201	0	0.000000
KB_KRR	3	0.001977	4	1.333333	0	0.000000	2	50.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KDN_KD	9	0.005932	69	7.666667	9	13.043478	60	86.956522	2	22.222222	5	7.246377	5	55.555556	0	0.000000	0	0.000000	2	22.222222	0	0.000000
KDP_KD	236	0.155553	3187	13.504237	52	1.631628	3135	98.368372	12	5.084746	14	0.439285	14	26.923077	0	0.000000	0	0.000000	19	8.050847	0	0.000000
KD_KD	84	0.055366	1549	18.440476	0	0.000000	1549	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	10	11.904762	0	0.000000
KD_KDN	10	0.006591	69	6.900000	0	0.000000	68	98.550725	4	40.000000	6	8.695652	0	0.000000	0	0.000000	6	8.823529	4	40.000000	0	0.000000
KD_KDP	235	0.154894	3221	13.706383	0	0.000000	3217	99.875815	18	7.659574	20	0.620925	0	0.000000	0	0.000000	20	0.621697	20	8.510638	0	0.000000
KD_KQD	19	0.012523	44	2.315789	0	0.000000	11	25.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	3	15.789474	0	0.000000
KD_KRD	19	0.012523	101	5.315789	0	0.000000	8	7.920792	1	5.263158	1	0.990099	0	0.000000	0	0.000000	1	12.500000	2	10.526316	0	0.000000
KNN_K	21	0.013842	357	17.000000	0	0.000000	357	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	3	14.285714
KNN_KB	2	0.001318	12	6.000000	0	0.000000	12	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	1	50.000000	0	0.000000
KNN_KN	6	0.003955	19	3.166667	0	0.000000	19	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000
KNN_KP	26	0.017137	243	9.346154	140	57.613169	103	42.386831	9	34.615385	20	8.230453	19	13.571429	0	0.000000	1	0.970874	1	3.846154	0	0.000000
KNN_KR	7	0.004614	35	5.000000	0	0.000000	35	100.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	1	14.285714	0	0.000000
